aeson,Data.Aeson,Aeson
base,GHC.Generics,Generics
base,Prelude,Prelude
bytestring,Data.ByteString,ByteString
bytestring,Data.ByteString.Char8,ByteString.Char8
bytestring,Data.ByteString.Lazy,LByteString
containers,Data.IntMap.Lazy,IntMap
containers,Data.IntMap.Strict,IntMap
containers,Data.IntSet,IntSet
containers,Data.Map.Lazy,Map
containers,Data.Map.Strict,Map
containers,Data.Set,Set
filepath,System.FilePath,FilePath
mtl,Control.Monad.Except,Except
mtl,Control.Monad.Reader,Reader
mtl,Control.Monad.State,State
mtl,Control.Monad.Writer,Writer
optics,Optics,Optics
optparse-applicative,Options.Applicative,Options
process,System.Process,Process
random,System.Random,Random
relude,Relude,Relude
relude,Relude.Extra,Relude
relude,Relude.Unsafe,Unsafe
req,Network.HTTP.Req,Req
servant-server,Servant,Servant
stm,Control.Concurrent.STM,STM
stm,Control.Concurrent.STM.TArray,TArray
stm,Control.Concurrent.STM.TBQueue,TBQueue
stm,Control.Concurrent.STM.TChan,TChan
stm,Control.Concurrent.STM.TMVar,TMVar
stm,Control.Concurrent.STM.TQueue,TQueue
stm,Control.Concurrent.STM.TSem,TSem
stm,Control.Concurrent.STM.TVar,TVar
streamly,Streamly,Streamly
streamly,Streamly.Prelude,Streamly
string-interpolate,Data.String,Interpolate,Interpolate
text,Data.Text,Text
text,Data.Text.Encoding,Text.Encoding
text,Data.Text.IO,Text.IO
text,Data.Text.Lazy,LText
time,Data.Time,Time
unliftio,UnliftIO,
unliftio,UnliftIO.Async,Async
unliftio,UnliftIO.Chan,Chan
unliftio,UnliftIO.Concurrent,Concurrent
unliftio,UnliftIO.Directory,Directory
unliftio,UnliftIO.Environment,Environment
unliftio,UnliftIO.Exception,Exception
unliftio,UnliftIO.Foreign,Foreign
unliftio,UnliftIO.IO,IO
unliftio,UnliftIO.IO.File,IO.File
unliftio,UnliftIO.IORef,IORef
unliftio,UnliftIO.MVar,MVar
unliftio,UnliftIO.Memoize,Memoize
unliftio,UnliftIO.Process,Process
unliftio,UnliftIO.QSem,QSem
unliftio,UnliftIO.QSemN,QSemN
unliftio,UnliftIO.STM,STM
unliftio,UnliftIO.Temporary,Temporary
unliftio,UnliftIO.Timeout,Timeout
unordered-containers,Data.HashMap.Lazy,HashMap
unordered-containers,Data.HashMap.Strict,HashMap
unordered-containers,Data.HashSet,HashSet
vector,Data.Vector,Vector
wai,Network.Wai,Wai
warp,Network.Wai.Handler.Warp,Warp
